ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,517,309,189,149,36,9,4,221,112,61,37,28,16,9,9,6,1,110,40,37,19,17,10,9,5,2,71,60,13,18,18,19,3,2,1,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,What is preventing yOu frOm including biOinfOrmatics cOntent in these cOurses?,Faculty Issues - General,Faculty Issue - No Expertise/ Training,Faculty Issue - Time,Faculty Issue - Does not know how to design curricula or incorporate with existing curriculum,Faculty Issue - Lack of Faculty interest at Institution,Faculty Issues - Faculty is new to current Dept,Curriculum Issues - General,Curriculum Issue - Course Load Full/ No time/space for Content,Curric Issues - Does not Fit into current Current Course Structure,Curriculum Issue - Time for Curriculum Development, Curric Issues - Lack of Curric Control/not in curent Curric.,Curric Issues - Bioinf. Taught in other courses at institution,Curric Issue - Class Size,Curric Issues - Plans to teach Bioinf. In the future (but not currently available),Curric Issue - Bioinfo Conent too Massive,Curric Issues - Content needs to be introduced in multiple courses,Resource Issues - General,Resources - Access to Quality Exercises/ Content,Resources - Access to developed Bioinf Lesson Plans/Bioinf Curric,Resources - Access to Approp Introductory Content,Resources - Unable to identify/access best current Bioinf material,Resource Issues - Funding,Resource Issues - Not available in course textbook,Resource Issues - Access to Quality Online Exerices/Conent,Resource Issues -TA's lack approp skils,Student Issues - General,Student Issues - UG Students Lack Approp Background Knowledge,Student Issues - Lack of interest in topic,Facilities Issues - General,Facilities Issue -Access to Appropriate Facilities/ Equipment,Inst/Dept. Support - General,Inst/Dept Issues - Institutional Inertia,State restrictions,Not accredited,,
53,1,3,1,4,2,4,1,WE,9,"class  size, lack of instructor experience",1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
54,1,3,2,4,2,4,1,WE,9,"I do include bioinformatics, but just one lecture in an intro bio course.  I think this is the right amount for this course.  Your question did not allow such an answer.",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
55,1,4,2,4,3,4,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,1,1,4,2,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,The topic is not trivial and requires background knowledge in terms of probability and general molecular biology topics - I am wary of efforts that trivialized subjects.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
59,1,1,2,4,9,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,4,2,4,8,4,3,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,4,2,4,8,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,3,2,4,1,4,3,SO,5,time restriction,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,2,4,2,4,1,WE,9,"Following Campbell Biology curriculum. Could a chapter be added to this text? Otherwise, it is only introduced through case studies or a few ""scientific skills exercises"" in the book.",1,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
64,1,3,1,2,2,4,1,SO,5,I'm not familiar enough with it myself in order to implement it in teaching.,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,2,2,4,3,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,4,2,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,3,1,4,2,4,2,SO,5,Easily adaptable resources and time in the curriculum,,,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
68,1,3,2,4,2,4,2,SO,5,"I teach a genetics lab; I have included substantial bioinformatics in some years, but not the last couple of years. I may include it again next fall.",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,2,1,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,#NULL!,#NULL!,1,4,4,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,3,2,4,2,3,2,WE,8,I don't yet have the expertise or a good source for the students,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
72,#NULL!,#NULL!,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,1,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,#NULL!,#NULL!,2,4,2,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,3,2,4,2,4,2,WE,8,it's a lot of work to develop the tutorials and exercises,1,,1,,,,1,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
79,1,2,2,4,2,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,2,2,4,4,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,2,4,9,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,3,2,4,2,4,1,SO,7,"Large class sizes (>300) is the biggest challenge. Better integration within the labs would help reenforce key concepts and provide hands-on experience, but there are currently insufficient numbers of computers in the labs.",,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,
84,1,4,2,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,3,1,2,3,3,1,WE,8,"I teach one lab per semester on bioinformatics.  I use it as an introduction to the topic and tell students they may see it again in their upper division courses, depending on which courses they take.  Students do the lab without too many complaints but hve said it's not their favorite topic of the semester, which is why I don't do more than one lab on it.",,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2
86,1,4,1,4,2,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,4,2,4,3,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,2,2,4,3,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,4,1,4,3,4,2,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,limited time to develop teaching modules outside my personal skill set,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,1,1,4,2,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,4,1,4,2,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
