ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,Q29,Q30,36,28,8,2,1,189,163,26,12,15,147,54,45,68,22,134,129,3,4,20,10,6,12,1,8,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,"At your current institution, do you face any technical barriers in teaching bioinformatics, e.g.,...",Optional: Please describe.,Faculty Issues - General,Faculty - No Expertise/Training,Faculty - Time,Faculty - not interested in topic,Faculty - no computer sci Faculty,Facilities - General,Facilities - Computer Labs limited or not available,Facilities - Computers are too old /inadequate,Facilities - Servers,Facilities - Internet Access Limited,Resources - General,Resources - Operating System Availability/Issues,Resources - Approp. Software,Resources - no high performance systems available,Resources - Funding,Inst/Dept Support - General,Inst/Dept Support - No IT support,Inst/Dept Support - No Sub to Pay-site Databases,Inst/Dept Support - Comp Sci Dept Will not support Bioinf,Student Issues - General,Student Issues - Access to Approp Software off campus,Student Issues - Basic Computing Knowledge,Student Issues - No access to computers at home,Student Issues - No interest in Bioinf,Curriculum Issues - General,Curriculum - Need to Develop new program,Curriculum Class Size too large,Curriculum - Access to developed Bioinf Lesson Plans/Bioinf Curric,,,,,,,,,,,,,,,,,,,,,,,
61,1,4,2,4,8,4,3,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,3,2,4,1,4,3,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,2,4,2,4,1,WE,9,1,large class size in Introductory biology. Would need to research whether interesting labs have been developed (to be done in a 3 hour time frame) as part of an introductory biology course.,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
64,1,3,1,2,2,4,1,SO,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,2,2,4,3,4,3,SO,5,1,"availability of a computer lab, different operating systems, IT support",,,,,,1,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,4,2,4,2,4,2,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,3,1,4,2,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,3,2,4,2,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,2,1,4,2,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,#NULL!,#NULL!,1,4,4,4,2,NE,2,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,3,2,4,2,3,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,#NULL!,#NULL!,2,4,9,4,2,WE,8,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1,2,4,9,4,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,1,2,4,9,4,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,#NULL!,#NULL!,2,4,2,4,2,WE,8,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,3,2,4,2,4,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,2,2,4,2,4,2,WE,8,1,"availability of computer labs and funding for software, willingness of IT support to install programs etc.",,,,,,1,1,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,2,2,4,4,4,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,2,4,9,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,3,2,4,2,4,1,SO,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,4,2,4,2,4,2,SO,7,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,3,1,2,3,3,1,WE,8,1,"Computers are available in lab, but have only 1 os, software packages are not available, no IT support .",,,,,,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,4,1,4,2,4,3,NE,2,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,4,2,4,3,4,3,NE,2,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,2,2,4,3,4,3,MW,3,1,Lack of institutional subscription to the pay-site databases.,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,4,1,4,3,4,2,WE,9,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,1,1,4,2,4,3,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,4,1,4,2,4,3,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,3,1,4,1,4,3,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,3,1,4,2,4,1,NE,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,3,2,4,1,4,1,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,4,1,4,2,4,2,MW,4,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,1,1,4,2,4,3,MW,4,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,3,2,4,1,4,2,WE,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,2,1,4,3,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,2,1,4,2,4,2,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,3,2,4,2,4,3,SO,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,#NULL!,1,3,3,#NULL!,#NULL!,SO,7,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,3,1,4,8,4,3,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,4,2,4,2,4,1,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,3,2,4,2,4,2,SO,5,1,"Coming up with a reliable standardized computing environment is challenging, ideally would like some type of robust platform that students could use at home as well as on campus.",,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,3,3,4,2,4,3,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,2,2,4,2,4,3,NE,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,2,1,4,2,4,3,WE,9,1,IT support,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
